update_step,policy_loss,value_loss,entropy,total_loss,value_acc,value_brier,policy_kl,policy_top1_match,pos_rate,cum_pos_rate,samples
100,0.7713201642036438,0.4456574022769928,0.7632456421852112,1.2162142992019653,0.8185654008438819,0.14011202801317604,0.49624377438004763,0.6455696202531646,0.18143459915611815,,237
200,0.8402385711669922,0.4703705608844757,0.8415465950965881,1.3097676038742065,0.7520661157024794,0.15581486055777555,0.5215474828030945,0.6157024793388429,0.24793388429752067,,242
300,0.6673293709754944,0.36467522382736206,0.6673820614814758,1.0313372611999512,0.8016528925619835,0.11793775810455398,0.42049888142746344,0.7066115702479339,0.23553719008264462,,242
400,0.763484537601471,0.39411985874176025,0.7651432156562805,1.156839370727539,0.8024193548387096,0.13217208130134667,0.49717204223927713,0.6975806451612904,0.22580645161290322,,248
500,0.8369433283805847,0.2972745895385742,0.8475186228752136,1.1333703994750977,0.8785425101214575,0.09453714210839607,0.48066562424726816,0.6842105263157895,0.17813765182186234,,247
600,0.7378206849098206,0.3084739148616791,0.7465204000473022,1.0455480813980103,0.8623481781376519,0.09567576946343714,0.3979987731252454,0.7125506072874493,0.18218623481781376,,247
700,0.7265670895576477,0.2680322825908661,0.722305417060852,0.9938770532608032,0.8934426229508197,0.08187427777199824,0.4475692042321841,0.7131147540983607,0.1680327868852459,,244
800,0.7845600247383118,0.2907658517360687,0.7946744561195374,1.0745311975479126,0.8764940239043825,0.08915268037367903,0.49015118528910695,0.7131474103585658,0.13545816733067728,,251
900,0.6739438772201538,0.1887044608592987,0.6941817402839661,0.8619542121887207,0.9314516129032258,0.057550424827920964,0.44405430293972453,0.7298387096774194,0.125,,248
1000,0.7326548099517822,0.23671743273735046,0.7502132058143616,0.968622088432312,0.907258064516129,0.06888480354438879,0.4569893340399909,0.75,0.12096774193548387,,248
1100,0.7649295330047607,0.1797720491886139,0.7632333040237427,0.9439383149147034,0.928,0.05283641234481243,0.43281662303209306,0.748,0.108,,250
1200,0.6624128818511963,0.149277463555336,0.6321989297866821,0.8110581040382385,0.9365079365079365,0.043006324200234945,0.4142446117253885,0.75,0.09126984126984126,,252
1300,0.8112611770629883,0.13385434448719025,0.8065454363822937,0.9443089365959167,0.9512195121951219,0.03839123415375206,0.5335321510929948,0.7195121951219512,0.08536585365853659,,246
1400,0.7511903643608093,0.14243090152740479,0.7829939126968384,0.8928382992744446,0.9365079365079365,0.04534261874341388,0.4879044983092518,0.7698412698412699,0.12698412698412698,,252
1500,0.7119225263595581,0.13256140053272247,0.7382699251174927,0.8437456488609314,0.9565217391304348,0.03876570118604453,0.4933550026959817,0.7865612648221344,0.10276679841897234,,253
1600,0.7934655547142029,0.1060171127319336,0.7996231317520142,0.8986830711364746,0.9563492063492064,0.03133108726088912,0.5092808499134013,0.7341269841269841,0.08333333333333333,,252
1700,0.8089740872383118,0.12027441710233688,0.7917810678482056,0.928456723690033,0.9554655870445344,0.03268303295788811,0.5775125108674349,0.7489878542510121,0.08097165991902834,,247
1800,0.8540474772453308,0.11479205638170242,0.8201000094413757,0.968019425868988,0.9642857142857143,0.030806841793368067,0.5524392393121998,0.7142857142857143,0.07539682539682539,,252
1900,0.6942645311355591,0.0024074078537523746,0.7487668991088867,0.6959232091903687,1.0,0.0002900932090495153,0.47871863016916905,0.83984375,0.00390625,,256
2000,0.8028594255447388,0.0007651327177882195,0.7925459146499634,0.8028320074081421,1.0,5.840966233600811e-05,0.5424355517789081,0.78125,0.0,,256
2100,0.6501895189285278,0.0013425765791907907,0.7428454160690308,0.6507892608642578,1.0,8.534373064106325e-05,0.44900274294195697,0.83984375,0.00390625,,256
2200,0.726637065410614,3.429688513278961e-05,0.7500301599502563,0.7259213328361511,1.0,5.546166225166632e-08,0.5100801246662741,0.8125,0.0,,256
2300,0.8913275003433228,0.0020466134883463383,0.8833768963813782,0.8924906849861145,1.0,0.0003483804183393976,0.6166037787261303,0.796875,0.0,,256
2400,1.1530463695526123,0.0006206659600138664,1.164189100265503,1.1525028944015503,1.0,1.5190572651602863e-05,0.7619691909931134,0.7265625,0.0,,256
2500,0.6113815307617188,8.113682270050049e-06,0.7113184928894043,0.6106783151626587,1.0,8.64825533634523e-09,0.3961415370722534,0.8984375,0.0,,256
2600,0.7535053491592407,9.685754776000977e-07,0.7219259738922119,0.7527843713760376,1.0,2.91661053391946e-11,0.5628989195174654,0.875,0.0,,256
2700,0.49562400579452515,0.00014778412878513336,0.5997265577316284,0.49517208337783813,1.0,1.2817317223551413e-06,0.34446655426836514,0.90625,0.0,,256
2800,0.41329285502433777,0.0007549719884991646,0.5946890115737915,0.4134531617164612,1.0,1.844366755895161e-05,0.2894055118904362,0.9453125,0.0,,256
2900,0.5671284198760986,0.0005876356735825539,0.5910244584083557,0.5671250224113464,1.0,4.808762104809998e-06,0.4012626468902454,0.90625,0.0,,256
3000,0.542723536491394,0.0037728101015090942,0.6297499537467957,0.5458666086196899,1.0,0.000947111758090048,0.40783735017612344,0.8984375,0.01171875,,256
3100,0.580694854259491,1.872517168521881e-05,0.6349536776542664,0.5800786018371582,1.0,1.814954638421505e-08,0.3107159118299023,0.90234375,0.0,,256
3200,0.44215157628059387,0.00040279884706251323,0.4880952537059784,0.4420662820339203,1.0,5.703485973117945e-06,0.2164382353338285,0.9264705882352942,0.0,,204
3300,0.4416557252407074,0.00014281483890954405,0.48487022519111633,0.44131365418434143,1.0,8.183298529968003e-07,0.21272232531738855,0.9424778761061947,0.0,,226
3400,0.4369949698448181,0.00026300735771656036,0.4635361135005951,0.4367944300174713,1.0,1.5961786713919858e-06,0.20638999775110278,0.88671875,0.0,,256
3500,0.3770674765110016,0.0005668150261044502,0.4471595585346222,0.3771871328353882,1.0,1.0837247279169905e-05,0.20504332660493674,0.89453125,0.0,,256
3600,0.3651316165924072,9.924173355102539e-05,0.46159401535987854,0.36476925015449524,1.0,2.864175045522062e-07,0.1793534578937397,0.9296875,0.0,,256
3700,0.5379962921142578,2.3439526557922363e-05,0.5813665390014648,0.5374383330345154,1.0,2.4495444769407435e-08,0.19836467172717676,0.87109375,0.0,,256
3800,0.5123510360717773,0.0002739410847425461,0.6012619733810425,0.5120236873626709,1.0,5.253093404132081e-06,0.18926905853004428,0.875,0.0,,256
3900,0.48390963673591614,5.976855754852295e-05,0.5803748369216919,0.4833890199661255,1.0,9.794703366762901e-08,0.24573100612360577,0.8984375,0.0,,256
4000,0.7305853962898254,0.00017975270748138428,0.7902146577835083,0.7299749255180359,1.0,5.968785623848658e-07,0.2820974757123622,0.8203125,0.0,,256
