update_step,policy_loss,value_loss,hand_pred_loss,entropy,train_count,value_acc,value_brier,policy_kl,policy_top1_match,pos_rate,cum_pos_rate,hand_label_pos_rate,samples,val_policy_loss,val_value_loss,val_hand_pred_loss,val_hand_recall,vt_count,vt_mean,vt_std,vt_min,vt_max,vt_clip_neg,vt_clip_pos
330,0.7533210515975952,0.40299713611602783,0.2541677951812744,0.757340669631958,330,0.84375,0.100067425745835,0.14950008202140452,0.67578125,0.24609375,,0.2545345723628998,256,0.8486793637275696,0.8124757409095764,0.2630752623081207,0.6703464075323499,23592,0.3046371651407257,0.4602535852720193,0.0,1.0,0,7187
360,0.849831223487854,0.3945399820804596,0.25184449553489685,0.8530354499816895,360,0.859375,0.09839761760246599,0.15999729516897787,0.65625,0.3046875,,0.26117393374443054,256,0.8253046274185181,0.8144267201423645,0.2633835971355438,0.6541618854267808,23869,0.30612928903598813,0.4608840932710832,0.0,1.0,0,7307
390,0.851636528968811,0.3961490988731384,0.2546009421348572,0.8483788371086121,390,0.8515625,0.09917383700952913,0.15790110007787916,0.6328125,0.2734375,,0.2491958886384964,256,0.8562925457954407,0.8708765506744385,0.2633800506591797,0.6791372182114725,23943,0.3051831432986677,0.4604849534404057,0.0,1.0,0,7307
420,0.9614251852035522,0.3625152111053467,0.25265052914619446,0.9596781134605408,420,0.875,0.08433944810573829,0.16695340169098927,0.6015625,0.3125,,0.2540915608406067,256,0.845110297203064,0.8621898293495178,0.2633201479911804,0.6872751349190486,24140,0.304059652029826,0.4600080217097602,0.0,1.0,0,7340
450,0.9091095924377441,0.3392789959907532,0.25432342290878296,0.9186346530914307,450,0.89453125,0.07724301606494273,0.18153359537973301,0.625,0.30859375,,0.24587713181972504,256,0.8415982127189636,0.9241012334823608,0.26478826999664307,0.7303769286527907,23929,0.3024363742738936,0.4593131979270299,0.0,1.0,0,7237
480,0.8202621936798096,0.4106559157371521,0.25262969732284546,0.8198741674423218,480,0.8359375,0.10154252331244117,0.16002293988094607,0.63671875,0.359375,,0.25222697854042053,256,0.8328746557235718,0.9571912288665771,0.2649827003479004,0.7415720346518304,24095,0.302967420626686,0.45954125240885474,0.0,1.0,0,7300
510,0.9233571290969849,0.34474533796310425,0.25413748621940613,0.9215140342712402,510,0.89453125,0.07654721186435685,0.18464303908882584,0.6015625,0.2890625,,0.2451968491077423,256,0.8526473045349121,0.938292920589447,0.26440274715423584,0.751551704680819,23959,0.3039776284485997,0.45997307513740926,0.0,1.0,0,7283
540,0.8728482127189636,0.3363122344017029,0.25160783529281616,0.8730504512786865,540,0.89453125,0.07277604428440028,0.15929868028069905,0.60546875,0.296875,,0.2474174052476883,256,0.8400124311447144,0.9201026558876038,0.2641100287437439,0.8016657079258684,23104,0.3103358725761773,0.462631082795525,0.0,1.0,0,7170
570,0.736396312713623,0.3180606961250305,0.2489672750234604,0.743613600730896,570,0.8984375,0.06862332706773429,0.14112927018504706,0.71484375,0.30859375,,0.25400546193122864,256,0.8490544557571411,0.9519938230514526,0.26535892486572266,0.8103019358749322,24150,0.3012836438923395,0.458815659949934,0.0,1.0,0,7276
600,0.9274337887763977,0.3223989009857178,0.24893943965435028,0.9299972057342529,600,0.89453125,0.07146981774722508,0.17163760988887589,0.62890625,0.28125,,0.25538069009780884,256,0.8357182741165161,0.9400647878646851,0.26656901836395264,0.8429037809384016,23757,0.3047943763943259,0.46032028470698505,0.0,1.0,0,7241
630,0.8213295936584473,0.35483378171920776,0.2515891492366791,0.8181660175323486,630,0.8828125,0.08153349053875378,0.16380712397130992,0.62890625,0.29296875,,0.24135734140872955,256,0.8408489227294922,0.8845234513282776,0.26650315523147583,0.8763152270927353,23161,0.30559993091835413,0.4606610610210628,0.0,1.0,0,7078
660,0.8163745403289795,0.21194127202033997,0.24505096673965454,0.8216872215270996,660,0.9609375,0.030111365768212228,0.1673056655936307,0.6640625,0.296875,,0.25546467304229736,256,0.8434423208236694,0.9563491940498352,0.2662171721458435,0.9083211347231336,23704,0.30509618629767127,0.46044815495806685,0.0,1.0,0,7232
